ortholog	gene	phenotype	taxon
ncl	['RBM14', 'RNA binding motif protein 14']	abnormal(ly) hypoplastic liver	Danio rerio
ncl	['RBM14', 'RNA binding motif protein 14']	abnormal(ly) quality midbrain hindbrain boundary	Danio rerio
ncl	['RBM14', 'RNA binding motif protein 14']	abnormal(ly) quality heart	Danio rerio
ncl	['RBM14', 'RNA binding motif protein 14']	abnormal(ly) quality gut	Danio rerio
ncl	['RBM14', 'RNA binding motif protein 14']	abnormal(ly) quality liver	Danio rerio
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased body size	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	neonatal lethality, complete penetrance	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	prenatal lethality, incomplete penetrance	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	abnormal pulmonary alveolus morphology	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	early cellular replicative senescence	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased cellular sensitivity to hydroxyurea	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased cellular sensitivity to ultraviolet irradiation	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased fibroblast proliferation	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Abnormality of DNA repair	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Abnormality of the cell cycle	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	abnormal lymphopoiesis	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	abnormal class switch recombination	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased double-positive T cell number	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	B lymphocytopenia	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	preweaning lethality	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	embryonic growth retardation	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Hydrops fetalis	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased bone mineral content	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased CD8-positive, alpha-beta memory T cell number	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased body length	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased lean body mass	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	abnormal spine curvature	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased energy expenditure	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased oxygen consumption	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased percent body fat/body weight	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased circulating glucose level	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased carbon dioxide production	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Osteopenia	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Decreased body weight	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Hypocholesterolemia	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Kyphosis	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	Adipose tissue loss	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased sacral vertebrae number	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased lumbar vertebrae number	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	decreased circulating alanine transaminase level	Mus musculus
Suv420h1	['KMT5B', 'lysine (K)-specific methyltransferase 5B', 'SUV420H1']	increased thermal nociceptive threshold	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal bronchial cartilage morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	aerophagia	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	postnatal lethality, complete penetrance	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal tracheal smooth muscle morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal tracheal ciliated epithelium morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal trachea morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal tracheal cartilage morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	slow postnatal weight gain	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Cyanosis	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Decreased body weight	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal sensory neuron morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	increased thermal nociceptive threshold	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal renal tubule epithelium morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Proteinuria	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal systemic arterial blood pressure	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal blood vessel physiology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	decreased vasoconstriction	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal pericyte morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	decreased mean systemic arterial blood pressure	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	abnormal vascular smooth muscle morphology	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	decreased urine sodium level	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Hyperaldosteronism	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Decreased urinary potassium	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Increased circulating renin level	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Hypochloriduria	Mus musculus
Ano1	['ANO1', 'anoctamin 1, calcium activated chloride channel']	Albuminuria	Mus musculus
rnf121	RNF121	abnormal(ly) action potential motor neuron	Danio rerio
rnf121	RNF121	abnormal(ly) disrupted sensory perception of chemical stimulus	Danio rerio
rnf121	RNF121	abnormal(ly) lethal (sensu genetics) whole organism	Danio rerio
rnf121	RNF121	abnormal(ly) decreased occurrence response to endoplasmic reticulum stress	Danio rerio
rnf121	RNF121	abnormal(ly) accumulation Rohon-Beard neuron voltage-gated sodium channel complex towards Rohon-Beard neuron Golgi apparatus	Danio rerio
rnf121	RNF121	abnormal(ly) accumulation Rohon-Beard neuron voltage-gated sodium channel complex towards Rohon-Beard neuron endoplasmic reticulum	Danio rerio
rnf121	RNF121	abnormal(ly) action potential Rohon-Beard neuron	Danio rerio
rnf121	RNF121	abnormal(ly) action potential skeletal muscle	Danio rerio
rnf121	RNF121	abnormal(ly) disrupted Golgi to plasma membrane protein transport	Danio rerio
rnf121	RNF121	abnormal(ly) decreased process quality voltage-gated sodium channel activity	Danio rerio
rnf121	RNF121	abnormal(ly) quality musculoskeletal movement	Danio rerio
rnf121	RNF121	abnormal(ly) viability whole organism	Danio rerio
rnf121	RNF121	abnormal(ly) dead whole organism	Danio rerio
rnf121	RNF121	abnormal(ly) quality response to external stimulus	Danio rerio
rnf121	RNF121	abnormal(ly) disrupted thigmotaxis	Danio rerio
rnf121	RNF121	abnormal(ly) arrested thigmotaxis	Danio rerio
rnf121	RNF121	neuronal action potential phenotype	Danio rerio
rnf121	RNF121	thigmotaxis phenotype	Danio rerio
rnf121	RNF121	protein localization to plasma membrane phenotype	Danio rerio
Ppme1	PPME1	abnormal breathing pattern	Mus musculus
Ppme1	PPME1	neonatal lethality, complete penetrance	Mus musculus
Ppme1	PPME1	Poor suck	Mus musculus
Ppme1	PPME1	Abnormal enzyme/coenzyme activity	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	regulation of G-protein coupled receptor protein signaling pathway phenotype	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	increased ventricle muscle contractility	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Tachycardia	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Abnormality of cardiovascular system physiology	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	neonatal lethality, complete penetrance	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	thick lung-associated mesenchyme	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased mesenchymal cell proliferation involved in lung development	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	abnormal type II pneumocyte morphology	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	abnormal type I pneumocyte morphology	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	small lung	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased lung weight	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased fetal weight	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased birth weight	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased birth body size	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	abnormal alveolar lamellar body morphology	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	abnormal lung saccule morphology	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	decreased surfactant secretion	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	abnormal lung development	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	no spontaneous movement	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Atelectasis	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Cyanosis	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Pulmonary hypoplasia	Mus musculus
Arrb1	['ARRB1', 'arrestin, beta 1']	Dyspnea	Mus musculus
Rsf1	['RSF1', 'remodeling and spacing factor 1']	preweaning lethality, complete penetrance	Mus musculus
Sik2	['SIK2', 'salt inducible kinase 2']	darkened coat color	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	spermatogenesis phenotype	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	decreased testis weight	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	small seminiferous tubules	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	decreased male germ cell number	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal spermatid morphology	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal male germ cell apoptosis	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	Abnormal spermatogenesis	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	Male infertility	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	Decreased testicular size	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	Abnormal male germ cell morphology	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	Azoospermia	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	arrest of spermatogenesis	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal seminiferous tubule epithelium morphology	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal spermatocyte morphology	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal testis morphology	Mus musculus
Pafah1b2	['PAFAH1B2', 'platelet activating factor acetylhydrolase 1b catalytic subunit 2']	abnormal sperm number	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal inner nuclear layer morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal ganglion layer morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal bipolar cell morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	Abnormality of the retina	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	postnatal lethality, incomplete penetrance	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal excitatory postsynaptic currents	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal inner plexiform layer morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal outer plexiform layer morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal amacrine cell morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal rod bipolar cell morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	abnormal retinal ganglion cell morphology	Mus musculus
Dscaml1	['DSCAML1', 'Down syndrome cell adhesion molecule like 1']	increased amacrine cell number	Mus musculus
Bcl9l	['BCL9L', 'B-cell CLL/lymphoma 9-like']	decreased skeletal muscle fiber size	Mus musculus
Bcl9l	['BCL9L', 'B-cell CLL/lymphoma 9-like']	abnormal muscle development	Mus musculus
Bcl9l	['BCL9L', 'B-cell CLL/lymphoma 9-like']	abnormal muscle regeneration	Mus musculus
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) quality heart	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) decreased size eye	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) quality liver	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) quality gut	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) necrotic brain	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) decreased size head	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) edematous pericardium	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) necrotic central nervous system	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) hypoplastic gut	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) hypoplastic liver	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) hypoplastic splanchnocranium	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) aplastic Meckel's cartilage	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) aplastic/hypoplastic ceratobranchial cartilage	Danio rerio
hinfp	['HINFP', 'histone H4 transcription factor']	abnormal(ly) aplastic ceratobranchial cartilage	Danio rerio
Hinfp	['HINFP', 'histone H4 transcription factor']	abnormal embryo development	Mus musculus
Hinfp	['HINFP', 'histone H4 transcription factor']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Hinfp	['HINFP', 'histone H4 transcription factor']	delayed blastocyst hatching from the zona pellucida	Mus musculus
Arhgap32	['ARHGAP32', 'Rho GTPase activating protein 32']	abnormal neuron differentiation	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	prostate gland development phenotype	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	embryo implantation phenotype	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	reproductive structure development phenotype	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	male sex differentiation phenotype	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal mammary gland development	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal decidualization	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal superovulation	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Female infertility	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Hypospadias	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal prostate gland development	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal male reproductive system morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	reduced male fertility	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	decreased litter size	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal foreskin morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	decreased seminal vesicle weight	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal anogenital distance	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal penis morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Failure to thrive	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Micropenis	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Increased serum testosterone level	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Abnormality of the genital system	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Decreased body weight	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Abnormality of reproductive system physiology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Abnormal sperm motility	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	impaired fertilization	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	small prostate gland anterior lobe	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	small seminal vesicle	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal prostate gland morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal testis morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	prenatal lethality, incomplete penetrance	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal seminal vesicle morphology	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal secondary sex determination	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	asthenozoospermia	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	absent prostate gland anterior lobe	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	abnormal uterine environment	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Male infertility	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Cryptorchidism	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Male pseudohermaphroditism	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	hairpin sperm flagellum	Mus musculus
Fkbp4	['FKBP4', 'FK506 binding protein 4']	Oligospermia	Mus musculus
Kcna6	['GALNT8', 'polypeptide N-acetylgalactosaminyltransferase 8']	increased thermal nociceptive threshold	Mus musculus
Kcna6	['GALNT8', 'polypeptide N-acetylgalactosaminyltransferase 8']	Hypertriglyceridemia	Mus musculus
Kcna6	['GALNT8', 'polypeptide N-acetylgalactosaminyltransferase 8']	increased thermal nociceptive threshold	Mus musculus
Kcna6	['GALNT8', 'polypeptide N-acetylgalactosaminyltransferase 8']	Hypertriglyceridemia	Mus musculus
Prmt8	['PRMT8', 'protein arginine methyltransferase 8']	decreased IgG1 level	Mus musculus
Slc2a3	SLC2A14	glucose transport phenotype	Mus musculus
Slc2a3	SLC2A14	embryonic lethality between implantation and placentation, complete penetrance	Mus musculus
Slc2a3	SLC2A14	prenatal lethality, complete penetrance	Mus musculus
Slc2a3	SLC2A14	decreased litter size	Mus musculus
Slc2a3	SLC2A14	perinatal lethality, incomplete penetrance	Mus musculus
Slc2a3	SLC2A14	abnormal placental transport	Mus musculus
Slc2a3	SLC2A14	abnormal brain wave pattern	Mus musculus
Slc2a3	SLC2A14	decreased prepulse inhibition	Mus musculus
Slc2a3	SLC2A14	increased anxiety-related response	Mus musculus
Slc2a3	SLC2A14	increased startle reflex	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	synapse assembly phenotype	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	synaptic transmission, GABAergic phenotype	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	decreased bone mineral content	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	decreased lean body mass	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	Tremor	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	Osteopenia	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal miniature excitatory postsynaptic currents	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal hippocampus pyramidal cell layer	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal hippocampus CA1 region morphology	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal miniature inhibitory postsynaptic currents	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal dentate gyrus morphology	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal hippocampus stratum radiatum morphology	Mus musculus
Clstn3	['CLSTN3', 'calsyntenin 3']	abnormal excitatory postsynaptic potential	Mus musculus
Rimklb	RIMKLB	abnormal behavioral response to light	Mus musculus
Rimklb	RIMKLB	abnormal sleep behavior	Mus musculus
Rimklb	RIMKLB	Leukopenia	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal seminiferous tubule epithelium morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal testes secretion	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal Sertoli cell development	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal seminiferous tubule size	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Decreased serum testosterone level	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal male germ cell apoptosis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal cell morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal Sertoli cell morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	oxidative stress	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	small seminiferous tubules	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	arrest of spermatogenesis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	decreased testis weight	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	decreased male germ cell number	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	decreased epididymis weight	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Leydig cell hypoplasia	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal spermatid morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal spermatocyte morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	arrest of male meiosis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Decreased testicular size	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Elevated follicle stimulating hormone	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Abnormality of the Leydig cells	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Azoospermia	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal male meiosis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal seminiferous tubule morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Abnormal spermatogenesis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Hyperplasia of the Leydig cells	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	seminiferous tubule degeneration	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	testis degeneration	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	ectopic Sertoli cells	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Male infertility	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Abnormal male germ cell morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Leydig cell hypertrophy	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Sertoli cell hyperplasia	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal spermatogonia morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal meiosis	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	Elevated luteinizing hormone	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal testis morphology	Mus musculus
Plekha5	['PLEKHA5', 'pleckstrin homology domain containing A5']	abnormal male reproductive system morphology	Mus musculus
