Trait	Match	Match Label	Second Match	Second Label	Third Match	Third Label
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm, SOMATIC MOSAIC	OMIM:300896	Congenital Disorder of Glycosylation, Type Iim	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix	OMIM:610768	Congenital Disorder of Glycosylation, Type Im
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIg	OMIM:611209	Congenital Disorder of Glycosylation, Type Iig	MESH:C535756	Congenital Disorder of Glycosylation, Type Iig	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIe	OMIM:608779	Congenital Disorder of Glycosylation, Type Iie	MESH:C535754	Congenital Disorder of Glycosylation, Type Iie	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii (1 patient)	OMIM:607906	Congenital Disorder of Glycosylation, Type Ii	DOID:0050571	congenital disorder of glycosylation type II	MESH:C535747	Congenital disorder of glycosylation type II
Congenital disorder of glycosylation type 2L	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix	OMIM:610768	Congenital Disorder of Glycosylation, Type Im	OMIM:616457	Congenital Disorder of Glycosylation, Type Iz
Congenital disorder of glycosylation type 2C	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix	OMIM:610768	Congenital Disorder of Glycosylation, Type Im	OMIM:616457	Congenital Disorder of Glycosylation, Type Iz
Congenital disorder of glycosylation type 1y	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix	OMIM:610768	Congenital Disorder of Glycosylation, Type Im	OMIM:616457	Congenital Disorder of Glycosylation, Type Iz
Congenital disorder of glycosylation type 1Q	OMIM:212067	Congenital Disorder of Glycosylation, Type I/Iix	OMIM:610768	Congenital Disorder of Glycosylation, Type Im	OMIM:616457	Congenital Disorder of Glycosylation, Type Iz
CONE-ROD DYSTROPHY, X-LINKED, 1	OMIM:304020	Cone-Rod Dystrophy, X-Linked, 1	MESH:C564438	Cone-Rod Dystrophy, X-Linked, 1	OMIM:300085	Cone-Rod Dystrophy, X-Linked, 2
Cone-rod dystrophy 6	OMIM:601777	Cone-Rod Dystrophy 6	OMIA:001929	Cone-rod dystrophy 6	OMIA:001929-9825	Cone-rod dystrophy 6 in domestic pig
Cone-rod dystrophy 2	OMIM:120970	Cone-Rod Dystrophy 2	OMIM:300085	Cone-Rod Dystrophy, X-Linked, 2	OMIA:001675-9615	Cone-rod dystrophy 2 in dog
CONE-ROD DYSTROPHY 16	OMIM:614500	Cone-Rod Dystrophy 16	OMIM:120970	Cone-Rod Dystrophy 2	DOID:0050572	cone-rod dystrophy
CONE-ROD DYSTROPHY 13	OMIM:608194	Cone-Rod Dystrophy 13	MESH:C567698	Cone-Rod Dystrophy 13	OMIM:120970	Cone-Rod Dystrophy 2
CONE-ROD DYSTROPHY 10	OMIM:610283	Cone-Rod Dystrophy 10	MESH:C564597	Cone-Rod Dystrophy 10	OMIM:120970	Cone-Rod Dystrophy 2
CONE DYSTROPHY 3	OMIM:602093	Cone Dystrophy 3	MESH:C566579	Cone Dystrophy 3	OMIM:180020	Retinal Cone Dystrophy 1
COMPLEMENT FACTOR D DEFICIENCY	OMIM:613912	Complement Factor D Deficiency	MESH:C565027	Complement Factor D Deficiency	HP:0008338	Partial functional complement factor D deficiency
COMPLEMENT FACTOR B DEFICIENCY (1 family)	OMIM:615561	Complement Factor B Deficiency	OMIM:610984	complement factor I deficiency	OMIM:613912	Complement Factor D Deficiency
COMPLEMENT C8 DEFICIENCY, TYPE I	DOID:0060301	type I complement component 8 deficiency	OMIM:610984	complement factor I deficiency	DOID:0050419	complement factor I deficiency
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7	OMIM:613559	Combined Oxidative Phosphorylation Deficiency 7	OMIM:616045	Combined Oxidative Phosphorylation Deficiency 22	OMIM:616198	Combined Oxidative Phosphorylation Deficiency 23
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5	OMIM:611719	Combined Oxidative Phosphorylation Deficiency 5	MESH:C567126	Combined Oxidative Phosphorylation Deficiency 5	OMIM:616045	Combined Oxidative Phosphorylation Deficiency 22
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 25 (1 family)	OMIM:616430	Combined Oxidative Phosphorylation Deficiency 25	OMIM:609060	Combined Oxidative Phosphorylation Deficiency 1	Orphanet:137681	Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24	OMIM:616239	Combined Oxidative Phosphorylation Deficiency 24	OMIM:616045	Combined Oxidative Phosphorylation Deficiency 22	OMIM:616198	Combined Oxidative Phosphorylation Deficiency 23
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 21 (1 family)	OMIM:615918	Combined Oxidative Phosphorylation Deficiency 21	OMIM:609060	Combined Oxidative Phosphorylation Deficiency 1	Orphanet:137681	Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1
Combined oxidative phosphorylation deficiency 15	OMIM:614947	Combined Oxidative Phosphorylation Deficiency 15	Orphanet:319524	Combined oxidative phosphorylation defect type 15	OMIM:616045	Combined Oxidative Phosphorylation Deficiency 22
Combined oxidative phosphorylation deficiency 13	OMIM:614932	Combined Oxidative Phosphorylation Deficiency 13	Orphanet:319514	Combined oxidative phosphorylation defect type 13	OMIM:616045	Combined Oxidative Phosphorylation Deficiency 22
COMBINED IMMUNODEFICIENCY, X-LINKED	OMIM:312863	Combined Immunodeficiency, X-Linked	OMIA:000899-9615	Severe combined immunodeficiency disease, X-linked in dog	OMIA:000899	Severe combined immunodeficiency disease, X-linked
Combined deficiency of sialidase AND beta galactosidase
Colorectal / endometrial cancer
COLORECTAL CANCER WITH CHROMOSOMAL INSTABILITY	OMIM:215510	Chromosomal Instability With Tissue-Specific Radiosensitivity	MESH:D043171	Chromosomal Instability	MESH:C565848	Chromosomal Instability With Tissue-Specific Radiosensitivity
COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8	OMIM:613244	Colorectal Cancer, Hereditary Nonpolyposis, Type 8	MESH:C567685	Colorectal Cancer, Hereditary Nonpolyposis, Type 8	OMIM:609310	Colorectal Cancer, Hereditary Nonpolyposis, Type 2
COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5, DIGENIC	OMIM:614350	Colorectal Cancer, Hereditary Nonpolyposis, Type 5	MESH:C563456	Colorectal Cancer, Hereditary Nonpolyposis, Type 5	OMIM:609310	Colorectal Cancer, Hereditary Nonpolyposis, Type 2
COLON CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6, SOMATIC	OMIM:614331	Colorectal Cancer, Hereditary Nonpolyposis, Type 6	MESH:C566039	Colorectal Cancer, Hereditary Nonpolyposis, Type 6	Orphanet:144	Hereditary nonpolyposis colon cancer
Coenzyme Q10 deficiency, primary, 4	OMIM:612016	Coenzyme Q10 Deficiency, Primary, 4	MESH:C567436	Coenzyme Q10 Deficiency, Primary, 4	OMIM:607426	Coenzyme Q10 Deficiency, Primary, 1
COENZYME Q10 DEFICIENCY, PRIMARY, 3 (1 family)	OMIM:614652	Coenzyme Q10 Deficiency, Primary, 3	OMIM:607426	Coenzyme Q10 Deficiency, Primary, 1	OMIM:612016	Coenzyme Q10 Deficiency, Primary, 4
CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY
CK SYNDROME	OMIM:300831	CK syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome
CITRULLINEMIA, MILD	Orphanet:79651	Mild hyperphenylalaninemia	OMIM:615135	Maple Syrup Urine Disease, Mild Variant	Orphanet:79253	Mild phenylketonuria
CIRRHOSIS, NONCRYPTOGENIC, SUSCEPTIBILITY TO	DOID:14018	alcoholic liver cirrhosis	OMIM:215600	Cirrhosis, Familial	DOID:5082	liver cirrhosis
Ciliary dyskinesia, primary, 7	OMIM:611884	Ciliary Dyskinesia, Primary, 7	MESH:C567504	Ciliary Dyskinesia, Primary, 7	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CILIARY DYSKINESIA, PRIMARY, 6	OMIM:610852	Ciliary Dyskinesia, Primary, 6	MESH:C567057	Ciliary Dyskinesia, Primary, 6	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CILIARY DYSKINESIA, PRIMARY, 30	OMIM:616037	Ciliary Dyskinesia, Primary, 30	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615505	Ciliary Dyskinesia, Primary, 28
Ciliary dyskinesia, primary, 3	OMIM:608644	Ciliary Dyskinesia, Primary, 3	MESH:C535278	Ciliary Dyskinesia, Primary, 3	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CILIARY DYSKINESIA, PRIMARY, 28, WITH SITUS INVERSUS	OMIM:615505	Ciliary Dyskinesia, Primary, 28	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615504	Ciliary Dyskinesia, Primary, 27
CILIARY DYSKINESIA, PRIMARY, 28, WITH OR WITHOUT SITUS INVERSUS	OMIM:615505	Ciliary Dyskinesia, Primary, 28	OMIM:615434	Retinitis Pigmentosa With or Without Situs Inversus	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CILIARY DYSKINESIA, PRIMARY, 26, WITHOUT SITUS INVERSUS	OMIM:615500	Ciliary Dyskinesia, Primary, 26	OMIM:615434	Retinitis Pigmentosa With or Without Situs Inversus	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CILIARY DYSKINESIA, PRIMARY, 21, WITHOUT SITUS INVERSUS	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615434	Retinitis Pigmentosa With or Without Situs Inversus	OMIM:615505	Ciliary Dyskinesia, Primary, 28
CILIARY DYSKINESIA, PRIMARY, 17	OMIM:614679	Ciliary Dyskinesia, Primary, 17	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615505	Ciliary Dyskinesia, Primary, 28
Ciliary dyskinesia, primary, 15	OMIM:613808	Ciliary Dyskinesia, Primary, 15	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615505	Ciliary Dyskinesia, Primary, 28
CILIARY DYSKINESIA, PRIMARY, 10	OMIM:612518	Ciliary Dyskinesia, Primary, 10	MESH:C567287	Ciliary Dyskinesia, Primary, 10	OMIM:615294	Ciliary Dyskinesia, Primary, 21
CHRONIC PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MYOPATHY, SOMATIC	Orphanet:329336	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	Orphanet:352447	Progressive external ophthalmoplegia - myopathy - emaciation	DOID:12558	chronic progressive external ophthalmoplegia
CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB	OMIM:608232	chronic myeloid leukemia	Orphanet:98824	Atypical chronic myeloid leukemia	MESH:D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
Chronic granulomatous disease, X-linked	OMIM:306400	Granulomatous Disease, Chronic, X-Linked	MESH:C564417	Granulomatous Disease, Chronic, X-Linked	OMIM:233700	Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type 1
Chondroectodermal dysplasia	Orphanet:319195	Chondroectodermal dysplasia with night blindness	OMIM:609324	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Orphanet:253	Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia
Chondrodysplasia punctata 1, X-linked recessive	OMIM:302950	Chondrodysplasia Punctata 1, X-Linked Recessive	MESH:C580533	Chondrodysplasia Punctata 1, X-Linked Recessive	OMIM:302960	Chondrodysplasia Punctata 2, X-Linked Dominant
CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1	OMIM:147480	Cholestasis, Intrahepatic, of Pregnancy, 1	MESH:C535932	Cholestasis, Intrahepatic, of Pregnancy, 1	OMIM:614972	Cholestasis, Intrahepatic, of Pregnancy 3
CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC 2	OMIM:605479	Benign recurrent intrahepatic cholestasis type 2	OMIM:243300	Benign recurrent intrahepatic cholestasis type 1	Orphanet:65682	Benign recurrent intrahepatic cholestasis
CHOLECYSTOKININ A RECEPTOR POLYMORPHISM	OMIM:313480	Taqi Polymorphism	OMIM:107750	Arbitrary Restriction Polymorphism 1	OMIM:260100	Pa Polymorphism of Alpha-2-Globulin
CHLORAMPHENICOL RESISTANCE	OMIM:515000	Chloramphenicol Toxicity	Orphanet:3221	Generalized resistance to thyroid hormone	OMIM:274300	Thyroid Hormone Resistance, Generalized, Autosomal Recessive
CHILBLAIN LUPUS	OMIM:610448	Chilblain Lupus 1	OMIM:614415	Chilblain Lupus 2	DOID:0060386	Chilblain lupus
Charcot-Marie-Tooth disease, X-linked recessive, type 5	OMIM:311070	Charcot-Marie-Tooth Disease, X-Linked Recessive, 5	Orphanet:99014	X-linked Charcot-Marie-Tooth disease type 5	OMIM:302801	Charcot-Marie-Tooth Disease, X-Linked Recessive, 2
Charcot-Marie-Tooth disease, type IE	OMIM:604563	Charcot-Marie-Tooth disease type 4B2	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K	OMIM:118210	Charcot-Marie-Tooth Disease, Axonal, Type 2A1
CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B2	OMIM:604563	Charcot-Marie-Tooth disease type 4B2	MESH:C535421	Charcot-Marie-Tooth disease type 4B2	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K
CHARCOT-MARIE-TOOTH DISEASE, TYPE 2Y	OMIM:604563	Charcot-Marie-Tooth disease type 4B2	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K	OMIM:118210	Charcot-Marie-Tooth Disease, Axonal, Type 2A1
Charcot-Marie-Tooth disease, type 2L	OMIM:608673	Charcot-Marie-Tooth Disease, Axonal, Type 2L	Orphanet:99945	Autosomal dominant Charcot-Marie-Tooth disease type 2L	OMIM:604563	Charcot-Marie-Tooth disease type 4B2
Charcot-Marie-Tooth disease type 2J	OMIM:607736	Charcot-Marie-Tooth Disease, Axonal, Type 2J	Orphanet:99943	Autosomal dominant Charcot-Marie-Tooth disease type 2J	MESH:C535417	Charcot-Marie-Tooth Disease, Axonal, Type 2J
Charcot-Marie-Tooth disease type 2I	OMIM:607677	Charcot-Marie-Tooth Disease, Axonal, Type 2I	MESH:C535416	Charcot-Marie-Tooth disease, Type 2I	Orphanet:99942	Autosomal dominant Charcot-Marie-Tooth disease type 2I
Charcot-Marie-Tooth disease type 2D	OMIM:601472	Charcot-Marie-Tooth Disease, Axonal, Type 2D	Orphanet:99938	Autosomal dominant Charcot-Marie-Tooth disease type 2D	MESH:C537993	Charcot-Marie-Tooth Disease, Axonal, Type 2D
CHARCOT-MARIE-TOOTH DISEASE, TYPE 1D	OMIM:607678	Charcot-Marie-Tooth Disease, Demyelinating, Type 1D	Orphanet:101084	Charcot-Marie-Tooth disease type 1D	MESH:C537985	Charcot-Marie-Tooth Disease, Demyelinating, Type 1D
CHARCOT-MARIE-TOOTH DISEASE, TYPE 1B, WITH FOCALLY FOLDED MYELIN SHEATHS	OMIM:118200	Charcot-Marie-Tooth Disease, Demyelinating, Type 1B	Orphanet:101082	Charcot-Marie-Tooth disease type 1B	ZP:0011761	abnormal(ly) has fewer parts of type oligodendrocyte towards oligodendrocyte myelin sheath
CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B (1 patient)	OMIM:613641	Charcot-Marie-Tooth Disease, Recessive Intermediate B	Orphanet:254334	Autosomal recessive intermediate Charcot-Marie-Tooth disease type B	OMIM:606482	Charcot-Marie-Tooth Disease, Dominant Intermediate B
CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE F	OMIM:615185	Charcot-Marie-Tooth Disease, Dominant Intermediate F	Orphanet:352670	Autosomal dominant intermediate Charcot-Marie-Tooth disease type F	OMIM:606482	Charcot-Marie-Tooth Disease, Dominant Intermediate B
CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA	OMIM:606482	Charcot-Marie-Tooth Disease, Dominant Intermediate B	Orphanet:100044	Autosomal dominant intermediate Charcot-Marie-Tooth disease type B	MESH:C564703	Charcot-Marie-Tooth Disease, Dominant Intermediate B
Charcot-Marie-Tooth disease dominant intermediate 3	MESH:C535401	Charcot-Marie-Tooth disease, dominant intermediate 3	OMIM:606482	Charcot-Marie-Tooth Disease, Dominant Intermediate B	OMIM:608323	Charcot-Marie-Tooth Disease, Dominant Intermediate C
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Z	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K	OMIM:118210	Charcot-Marie-Tooth Disease, Axonal, Type 2A1	OMIM:605589	Charcot-Marie-Tooth Disease, Axonal, Type 2B2
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U	OMIM:616280	Charcot-Marie-Tooth Disease, Axonal, Type 2U	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K	OMIM:118210	Charcot-Marie-Tooth Disease, Axonal, Type 2A1
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2N	OMIM:613287	Charcot-Marie-Tooth Disease, Axonal, Type 2N	MESH:C567653	Charcot-Marie-Tooth Disease, Axonal, Type 2N	Orphanet:228174	Autosomal dominant Charcot-Marie-Tooth disease type 2N
CFHR5 DEFICIENCY	OMIM:614809	Cfhr5 Deficiency	OMIM:611126	Mitochondrial Complex 1 Deficiency Due to Acad9 Deficiency	Orphanet:308400	Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C
CERVICAL CANCER, SOMATIC	DOID:4362	cervical cancer	OMIM:603956	Cervical Cancer	ZP:0004921	abnormal(ly) decreased amount epidermis somatic stem cell
Ceroid lipofuscinosis neuronal 6	OMIA:001443-9615	Neuronal ceroid lipofuscinosis, 6 in dog	OMIA:001443	Neuronal ceroid lipofuscinosis, 6	DOID:14503	neuronal ceroid lipofuscinosis
CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT	DOID:14503	neuronal ceroid lipofuscinosis	OMIM:610003	Ceroid Lipofuscinosis, Neuronal, 8, Northern Epilepsy Variant	OMIA:000181-9825	Neuronal Ceroid Lipofuscinosis, generic in domestic pig
Ceroid lipofuscinosis neuronal 10	OMIA:001505	Neuronal ceroid lipofuscinosis, 10	OMIA:001505-9615	Neuronal ceroid lipofuscinosis, 10 in dog	DOID:14503	neuronal ceroid lipofuscinosis
CEREBROOCULOFACIOSKELETAL SYNDROME 4	OMIM:610758	Cerebrooculofacioskeletal Syndrome 4	MESH:C565184	Cerebrooculofacioskeletal Syndrome 4	OMIM:214150	Cerebrooculofacioskeletal Syndrome 1
CEREBROOCULOFACIOSKELETAL SYNDROME 3	OMIM:616570	Cerebrooculofacioskeletal Syndrome 3; COFS3	OMIM:214150	Cerebrooculofacioskeletal Syndrome 1	OMIM:610758	Cerebrooculofacioskeletal Syndrome 4
CEREBRAL DYSGENESIS, NEUROPATHY, ICHTHYOSIS, AND PALMOPLANTAR KERATODERMA SYNDROME
Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1	OMIM:300486	Mental Retardation, X-Linked, With Cerebellar Hypoplasia and Distinctive Facial Appearance	OMIM:300749	Mental Retardation and Microcephaly With Pontine and Cerebellar Hypoplasia	MESH:C537456	Mental Retardation, X-Linked, With Cerebellar Hypoplasia and Distinctive Facial Appearance
Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorinural hearing loss	OMIM:601338	Cerebellar ataxia - areflexia - pes cavus - optic atrophy - sensorineural hearing loss	MESH:C535351	Cerebellar ataxia - areflexia - pes cavus - optic atrophy - sensorineural hearing loss	OMIM:165199	Optic Atrophy, Hearing Loss, and Peripheral Neuropathy, Autosomal Dominant
CEREBELLAR ATAXIA AND MENTAL RETARDATION WITH QUADRUPEDAL LOCOMOTION 1	OMIM:224050	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 1	MESH:C535731	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 1	OMIM:613227	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 3
CEREBELLAR ATAXIA AND MENTAL RETARDATION WITH OR WITHOUT QUADRUPEDAL LOCOMOTION 3	OMIM:613227	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 3	MESH:C567690	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 3	OMIM:224050	Cerebellar Ataxia, Mental Retardation, and Dysequilibrium Syndrome 1
CENTRAL CORE DISEASE, AUTOSOMAL RECESSIVE	DOID:0050737	autosomal recessive disease	OMIM:607706	Charcot-Marie-Tooth Disease, Axonal, With Vocal Cord Paresis, Autosomal Recessive	OMIM:233690	Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative
CELIAC DISEASE, SUSCEPTIBILITY TO, 3	OMIM:609755	Celiac Disease, Susceptibility To, 3	OMIM:212750	Celiac Disease, Susceptibility To, 1	OMIM:612009	Celiac Disease, Susceptibility To, 11
CDLS2	OMIM:300590	Cornelia De Lange Syndrome 2
Cataract and cardiomyopathy	OMIM:225740	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy, and Cataracts	Orphanet:1369	Congenital cataract - hypertrophic cardiomyopathy - mitochondrial myopathy	Orphanet:1345	Cardiomyopathy - cataract - hip spine disease
CATARACT 40	OMIM:302200	Cataract 40	OMIM:616053	spinocerebellar ataxia type 40	OMIM:608264	Deafness, Autosomal Recessive 40
CATARACT 3, MULTIPLE TYPES	OMIM:601547	Cataract 3, Multiple Types	MESH:C563294	Cataract 3, Multiple Types	OMIM:115700	Cataract 4, Multiple Types
CATARACT 39, MULTIPLE TYPES	OMIM:615188	Cataract 39, Multiple Types	OMIM:115700	Cataract 4, Multiple Types	OMIM:116200	Cataract 1, Multiple Types
CATARACT 2, NUCLEAR, WITH MICROCORNEA	OMIM:612018	Cataract, Juvenile, With Microcornea and Glucosuria	OMIM:106230	Aniridia, Microcornea, and Spontaneously Reabsorbed Cataract	Orphanet:247794	Juvenile cataract - microcornea - renal glucosuria
CATARACT 21, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA	OMIM:610202	Cataract 21, Multiple Types	MESH:C565703	Cataract 21, Multiple Types	OMIM:115700	Cataract 4, Multiple Types
CATARACT 16, POSTERIOR POLAR	DOID:0050537	posterior polar cataract	MP:0010260	posterior polar cataracts	HP:0001115	Posterior polar cataract
CATARACT 15, MULTIPLE TYPES	OMIM:615274	Cataract 15, Multiple Types	OMIM:115700	Cataract 4, Multiple Types	OMIM:116200	Cataract 1, Multiple Types
CATARACT 12, MULTIPLE TYPES	OMIM:611597	Cataract 12, Multiple Types	MESH:C566909	Cataract 12, Multiple Types	OMIM:115700	Cataract 4, Multiple Types
CATARACT 11, POSTERIOR POLAR	DOID:0050537	posterior polar cataract	MP:0010260	posterior polar cataracts	HP:0001115	Posterior polar cataract
CARDIOMYOPATHY WITH OR WITHOUT SKELETAL MYOPATHY	MESH:C538496	Dilated cardiomyopathy, neutropenia, skeletal myopathy, and abnormal mitochondria	OMIM:125250	Optic Atrophy With or Without Deafness, Ophthalmoplegia, Myopathy, Ataxia, and Neuropathy	OMIM:167320	Inclusion Body Myopathy With Early-Onset Paget Disease With or Without Frontotemporal Dementia 1
Cardiomyopathy, left ventricular noncompaction	OMIM:612158	Cardiomyopathy, Dilated, 1Aa, With or Without Left Ventricular Noncompaction	OMIM:601493	Cardiomyopathy, Dilated, 1C, With or Without Left Ventricular Noncompaction	HP:0011664	Left ventricular noncompaction cardiomyopathy
CARDIOMYOPATHY, FAMILIAL, RESTRICTIVE, 3	OMIM:612422	Cardiomyopathy, Familial Restrictive, 3	MESH:C567316	Cardiomyopathy, Familial Restrictive, 3	OMIM:609578	Cardiomyopathy, Familial Restrictive, 2
Cardiomyopathy, familial hypertrophic, 8	OMIM:608751	Cardiomyopathy, Familial Hypertrophic, 8	MESH:C563866	Cardiomyopathy, Familial Hypertrophic, 8	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 24	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10	OMIM:608751	Cardiomyopathy, Familial Hypertrophic, 8
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 22	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10	OMIM:608751	Cardiomyopathy, Familial Hypertrophic, 8
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 20	OMIM:613876	Cardiomyopathy, Familial Hypertrophic, 20	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 18	OMIM:613874	Cardiomyopathy, Familial Hypertrophic, 18	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16	OMIM:613838	Cardiomyopathy, Familial Hypertrophic, 16	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 15	OMIM:613255	Cardiomyopathy, Familial Hypertrophic, 15	MESH:C567681	Cardiomyopathy, Familial Hypertrophic, 15	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 14	OMIM:613251	Cardiomyopathy, Familial Hypertrophic, 14	MESH:C567684	Cardiomyopathy, Familial Hypertrophic, 14	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4
CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTRIPIC HYPOGONADISM	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism	MESH:C535580	Dilated cardiomyopathy - hypergonadotropic hypogonadism	OMIM:115200	Cardiomyopathy, Dilated, 1A
CARDIOMYOPATHY, DILATED, 1Y	OMIM:611878	Cardiomyopathy, Dilated, 1Y	MESH:C567507	Cardiomyopathy, Dilated, 1Y	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism
CARDIOMYOPATHY, DILATED, 1W	OMIM:611407	Cardiomyopathy, Dilated, 1W	MESH:C566954	Cardiomyopathy, Dilated, 1W	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism
CARDIOMYOPATHY, DILATED, 1R	OMIM:613424	Cardiomyopathy, Dilated, 1R	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism	OMIM:115200	Cardiomyopathy, Dilated, 1A
Cardiomyopathy, dilated, 1R	OMIM:613424	Cardiomyopathy, Dilated, 1R	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism	OMIM:115200	Cardiomyopathy, Dilated, 1A
Cardiomyopathy, dilated, 1P	OMIM:609909	Cardiomyopathy, Dilated, 1P	MESH:C563690	Cardiomyopathy, Dilated, 1P	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism
